# 
# Name: Chip 11_Device_1-_Transfer_Dark
# Run: 1
# Profile: \transfer
# Device: Agilent 4155C
# Time and Date: 
# 
# SMU 0: Source (Constant at 0 V, Measuring Current with Compliance at 0.00100000000000 A)
# SMU 2: Gate (Sweep from 0 V to -50.0000 V in 1.0000 V Steps, Measuring Current with Compliance at 0.00100000000000 A)
# SMU 3: Drain (Constant at -50.0000 V, Measuring Current with Compliance at 0.00100000000000 A)
# 
# Hold Time: 0.100 s
# Measurement Time: 0.00200 s
# 
# Measurement Notes:
# 
# Chip 11_Device_1-_Transfer_Dark
# Device 1 = 45um
# Device 2 = 90um
# Device 3 = 135um
# Device 4 =  180um
# 
# The first half of columns contains the levels that have been set, the second half the measured values for these levels.
# 
# Source [V]	Gate [V]	Drain [V]	Source [A]	Gate [A]	Drain [A]	
# 
0	0.0000	-50.0000	0.0000000000619950	0.000000000196282	-0.000000000317807
0	-1.0000	-50.0000	0.000000000121840	0.000000000193374	0.0000000000281150
0	-2.0000	-50.0000	-0.0000000000872950	0.0000000000709890	0.0000000000608720
0	-3.0000	-50.0000	-0.0000000000789010	0.0000000000419190	0.000000000106230
0	-4.0000	-50.0000	0.000000000126241	0.0000000000827660	0.0000000000248400
0	-5.0000	-50.0000	-0.000000000100514	-0.000000000122396	-0.000000000122984
0	-6.0000	-50.0000	-0.000000000103368	0.0000000000164880	0.00000000000724500
0	-7.0000	-50.0000	-0.0000000000358170	0.0000000000455010	0.0000000000285400
0	-8.0000	-50.0000	-0.0000000000229160	-0.000000000103523	0.0000000000417150
0	-9.0000	-50.0000	0.000000000144986	-0.0000000000388330	0.0000000000930130
0	-10.0000	-50.0000	0.000000000135991	0.0000000000855680	-0.0000000000749530
0	-11.0000	-50.0000	-0.0000000000230530	0.0000000000286720	0.0000000000677950
0	-12.0000	-50.0000	0.0000000000704640	0.0000000000323770	-0.000000000124590
0	-13.0000	-50.0000	0.000000000177357	-0.0000000000321050	0.0000000000488340
0	-14.0000	-50.0000	0.000000000208013	-0.0000000000393050	0.0000000000226840
0	-15.0000	-50.0000	0.000000000251737	-0.000000000142051	-0.000000000214352
0	-16.0000	-50.0000	0.000000000228252	-0.000000000222410	-0.000000000301109
