# Source [V]	Gate [V]	Drain [V]	Source [A]	Gate [A]	Drain [A]	
# 
0	0.0000	5.0000	-0.0000000000911980	-0.000000000196829	-0.0000000000560210
0	0.0000	4.0000	0.0000000000341460	-0.000000000140927	0.0000000000837050
0	0.0000	3.0000	0.0000000000729410	-0.0000000000406900	0.000000000152797
0	0.0000	2.0000	-0.000000000106375	0.0000000000554400	-0.0000000000951650
0	0.0000	1.0000	-0.00000000000997100	0.0000000000633770	-0.0000000000387900
0	0.0000	0.0000	-0.000000000100357	0.0000000000672340	-0.0000000000838850
0	0.0000	-1.0000	-0.0000000000741760	0.000000000106738	-0.0000000000411650
0	0.0000	-2.0000	0.0000000000396080	0.000000000107400	-0.00000000000175800
0	0.0000	-3.0000	0.0000000000241250	0.0000000000737490	-0.000000000109672
0	0.0000	-4.0000	0.0000000000950010	0.0000000000451810	-0.0000000000298180
0	0.0000	-5.0000	0.0000000000853650	0.0000000000177790	-0.0000000000627030
0	0.0000	-6.0000	-0.0000000000933740	0.0000000000748850	-0.000000000148632
0	0.0000	-7.0000	-0.0000000000796740	-0.0000000000696680	0.0000000000866410
0	0.0000	-8.0000	-0.0000000000456140	-0.0000000000477410	0.000000000118644
0	0.0000	-9.0000	0.0000000000737740	0.0000000000494080	0.000000000106643
0	0.0000	-10.0000	-0.000000000106269	-0.0000000000645300	0.0000000000534240
0	0.0000	-11.0000	-0.0000000000604670	-0.000000000102222	0.000000000112398
0	0.0000	-12.0000	0.0000000000586070	0.000000000129743	0.0000000000458310
0	0.0000	-13.0000	-0.0000000000271180	0.0000000000991240	-0.0000000000989970
0	0.0000	-14.0000	0.000000000103682	0.0000000000578380	-0.0000000000875040
0	0.0000	-15.0000	-0.0000000000565360	-0.00000000000176400	-0.000000000155342
0	0.0000	-16.0000	-0.0000000000748760	-0.0000000000978910	0.000000000115368
0	0.0000	-17.0000	0.0000000000649640	-0.0000000000460890	-0.0000000000846970
0	0.0000	-18.0000	-0.000000000121312	-0.0000000000340830	-0.000000000133627
0	0.0000	-19.0000	0.0000000000986800	-0.0000000000899090	0.0000000000746480
0	0.0000	-20.0000	0.00000000000599500	-0.0000000000929700	0.000000000116747
0	0.0000	-21.0000	0.0000000000911060	-0.0000000000871410	0.000000000108056
0	0.0000	-22.0000	0.0000000000192590	0.0000000000732280	0.0000000000709980
0	0.0000	-23.0000	-0.000000000123095	0.000000000115425	-0.000000000162426
0	0.0000	-24.0000	0.000000000113922	-0.0000000000944860	0.000000000117598
0	0.0000	-25.0000	0.0000000000711130	0.0000000000991380	0.000000000104572
0	0.0000	-26.0000	-0.000000000103995	0.0000000000353870	0.0000000000159440
0	0.0000	-27.0000	-0.0000000000735160	0.000000000100305	-0.000000000118982
0	0.0000	-28.0000	-0.000000000106957	-0.0000000000759390	-0.0000000000936830
0	0.0000	-29.0000	-0.0000000000810250	-0.0000000000904730	-0.000000000153221
0	0.0000	-30.0000	0.0000000000719330	0.000000000110236	-0.0000000000915220
0	0.0000	-31.0000	0.0000000000229690	0.0000000000245290	-0.000000000167374
0	0.0000	-32.0000	-0.000000000112155	-0.00000000000790000	-0.000000000107104
0	0.0000	-33.0000	-0.0000000000625400	0.0000000000296340	-0.0000000000649590
0	0.0000	-34.0000	0.0000000000783960	0.0000000000825580	-0.000000000127644
0	0.0000	-35.0000	-0.0000000000318210	0.0000000000946610	-0.000000000109663
0	0.0000	-36.0000	-0.0000000000636010	-0.000000000120791	-0.0000000000936500
0	0.0000	-37.0000	0.0000000000844470	0.00000000000464700	-0.000000000134228
0	0.0000	-38.0000	0.000000000107205	0.000000000107939	0.0000000000585160
0	0.0000	-39.0000	-0.0000000000221130	0.0000000000871750	0.000000000110041
